Municipality_code;Oral_Health_Strategy_coverage;Primary_health_coverage_for_poor_residents_.last.year.;Vaccination_coverage_...;Low_birth_weight_...;Hospital_beds_per_10.000_residents;Family_Health_Strategy_teams_per_10.000_residents;Ultrasound_machines._per_10.000_live_births;cesarean_deliveries;Xray_machines_per_10.000_residents;Life_support_equipment_per_10.000_residents;Mammographies_per_100_women
1508126;38.31;33.31;86.65;3.81;20.1;0.9;22.4;39.91;0.2;0.7;0
1508159;11.52;20.04;87.37;8.11;12.9;1.1;12.3;42.01;0.4;0.7;1
1508209;29.87;51.94;73.5;7.35;7.3;1.7;25.8;39.95;0.2;0.2;1
1508308;37.29;32.43;70.29;4.71;8.1;1.1;14;16.99;0.5;0;0
1508357;100;93.13;91.29;7.65;7.4;3;109.3;28.96;1.5;0;2
1508407;42.56;66.62;75.22;8.15;21.2;2.2;23.6;57.62;0.7;4.4;4
1600055;100;100;88.99;4.11;68.5;4.6;0;17.81;0;4.6;6
1600105;100;100;94.27;2.78;33.5;3.7;0;5.56;0;0;1
1600154;100;100;90.58;6.57;13.9;2.8;0;23.36;0;1.9;1
1600204;100;96.87;73.77;10.6;17.8;3.3;92.2;10.6;1.1;1.1;1
1600212;100;100;89.45;6.58;0;4.3;0;13.16;0;0;2
1600238;100;100;105.31;3.74;22.4;3.4;0;17.76;0;1.7;4
1600253;100;100;72.7;7.58;0;4.7;0;28.79;0;0;6
