 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2015 - Brasil;;;
População residente por Município e Sexo;;;
Período:2015;;;
Município;Masculino;Feminino;Total
210550 João Lisboa;11575;11661;23236
210560 Joselândia;8048;7785;15833
210565 Junco do Maranhão;1729;1698;3427
210570 Lago da Pedra;24450;24541;48991
210580 Lago do Junco;5288;5313;10601
210594 Lago dos Rodrigues;4375;4340;8715
210590 Lago Verde;7945;7950;15895
210592 Lagoa do Mato;5604;5420;11024
210596 Lagoa Grande do Maranhão;5850;5259;11109
210598 Lajeado Novo;3884;3475;7359
210600 Lima Campos;5642;6001;11643
210610 Loreto;6142;5726;11868
210620 Luís Domingues;3575;3214;6789
210630 Magalhães de Almeida;9823;9443;19266
210632 Maracaçumé;10381;10432;20813
210635 Marajá do Sena;4215;3439;7654
210637 Maranhãozinho;7999;7734;15733
210640 Mata Roma;8180;8196;16376
210650 Matinha;11275;11547;22822
210660 Matões;16465;16522;32987
210663 Matões do Norte;8510;7658;16168
210667 Milagres do Maranhão;4248;4038;8286
210670 Mirador;10586;10009;20595
210675 Miranda do Norte;13100;14405;27505
210680 Mirinzal;7524;7106;14630
210690 Monção;16635;16197;32832
210700 Montes Altos;4651;4375;9026
210710 Morros;9649;9291;18940
210720 Nina Rodrigues;7176;6836;14012
210725 Nova Colinas;2707;2537;5244
210730 Nova Iorque;2325;2262;4587
210735 Nova Olinda do Maranhão;10113;10280;20393
210740 Olho d'Água das Cunhãs;9428;9650;19078
210745 Olinda Nova do Maranhão;7324;6978;14302
210750 Paço do Lumiar;57282;60590;117872
210760 Palmeirândia;9619;9669;19288
210770 Paraibano;10228;10667;20895
210780 Parnarama;17202;16945;34147
210790 Passagem Franca;9117;9432;18549
210800 Pastos Bons;9600;9397;18997
210805 Paulino Neves;8142;7465;15607
210810 Paulo Ramos;10417;10193;20610
210820 Pedreiras;18289;20216;38505
210825 Pedro do Rosário;12644;11831;24475
210830 Penalva;19081;18176;37257
210840 Peri Mirim;7067;6950;14017
210845 Peritoró;11290;11313;22603
210850 Pindaré-Mirim;15798;16397;32195
210860 Pinheiro;39573;41864;81437
210870 Pio XII;10588;10579;21167
210880 Pirapemas;9064;9118;18182
210890 Poção de Pedras;8882;8889;17771
210900 Porto Franco;11786;11458;23244
210905 Porto Rico do Maranhão;3108;2765;5873
210910 Presidente Dutra;22793;23890;46683
210920 Presidente Juscelino;6520;5877;12397
210923 Presidente Médici;3510;3326;6836
210927 Presidente Sarney;9570;8849;18419
210930 Presidente Vargas;5714;5590;11304
210940 Primeira Cruz;7998;6920;14918
210945 Raposa;14579;15179;29758
210950 Riachão;10137;9710;19847
210955 Ribamar Fiquene;3915;3697;7612
210960 Rosário;20695;21003;41698
210970 Sambaíba;2938;2616;5554
210975 Santa Filomena do Maranhão;3884;3692;7576
210980 Santa Helena;20134;20872;41006
210990 Santa Inês;39710;43526;83236
211000 Santa Luzia;36135;34934;71069
211003 Santa Luzia do Paruá;12361;12306;24667
211010 Santa Quitéria do Maranhão;12541;12495;25036
211020 Santa Rita;17972;18007;35979
211023 Santana do Maranhão;6661;6326;12987
211027 Santo Amaro do Maranhão;8129;7247;15376
211030 Santo Antônio dos Lopes;7136;7119;14255
211040 São Benedito do Rio Preto;9228;9026;18254
211050 São Bento;21943;23103;45046
211060 São Bernardo;13842;13976;27818
211065 São Domingos do Azeitão;3645;3580;7225
211070 São Domingos do Maranhão;16899;16810;33709
211080 São Félix de Balsas;2316;2199;4515
211085 São Francisco do Brejão;5847;5598;11445
211090 São Francisco do Maranhão;6056;5909;11965
211100 São João Batista;10227;10011;20238
211102 São João do Carú;8095;7426;15521
211105 São João do Paraíso;5878;5074;10952
211107 São João do Soter;9220;8876;18096
211110 São João dos Patos;12423;12945;25368
211120 São José de Ribamar;83770;90498;174268
211125 São José dos Basílios;3730;3766;7496
211130 São Luís;503084;570809;1073893
211140 São Luís Gonzaga do Maranhão;9229;9378;18607
211150 São Mateus do Maranhão;19794;20782;40576
211153 São Pedro da Água Branca;6308;6098;12406
211157 São Pedro dos Crentes;2384;2177;4561
211160 São Raimundo das Mangabeiras;9381;9026;18407
211163 São Raimundo do Doca Bezerra;2713;2516;5229
211167 São Roberto;3395;3134;6529
211170 São Vicente Ferrer;10424;10253;20677
211172 Satubinha;6966;6521;13487
211174 Senador Alexandre Costa;5415;5448;10863
211176 Senador La Rocque;6714;7368;14082
211178 Serrano do Maranhão;5776;5081;10857
211180 Sítio Novo;9341;8323;17664
211190 Sucupira do Norte;5291;5144;10435
211195 Sucupira do Riachão;2801;2733;5534
211200 Tasso Fragoso;4227;4079;8306
211210 Timbiras;14266;14245;28511
211220 Timon;80244;84626;164870
211223 Trizidela do Vale;10099;10793;20892
211227 Tufilândia;2923;2797;5720
211230 Tuntum;20844;20003;40847
211240 Turiaçu;18135;16694;34829
211245 Turilândia;12429;12478;24907
211250 Tutóia;28672;28581;57253
211260 Urbano Santos;16460;15859;32319
211270 Vargem Grande;27282;27563;54845
211280 Viana;25462;25785;51247
211285 Vila Nova dos Martírios;6787;6169;12956
211290 Vitória do Mearim;15838;16212;32050
